"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C5,C13,C15","10uF","~","Capacitor_SMD:C_0805_2012Metric","4",""
"C2,C4,C6,C8,C10,C12,C14","100nF","~","Capacitor_SMD:C_0805_2012Metric","7",""
"C3","4.7uF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C7","33uF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C9,C11","1uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"D1,D2,D3","3.3Vbd","~","Diode_SMD:D_SOD-323","3",""
"J1","Conn_01x06_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1",""
"R1","5.6","~","Resistor_SMD:R_0805_2012Metric","1",""
"R2","10k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R3","30.1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R4","63.4k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R5","37.4k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R6","52.3k","~","Resistor_SMD:R_0805_2012Metric","1",""
"U1","paw3395","","PixArt Motion Sensors:PMW3360","1",""
"U2,U3","TPS73601DBV","http://www.ti.com/lit/ds/symlink/tps736.pdf","Package_TO_SOT_SMD:SOT-23-5","2",""
